id,name,unit_name,nutrient_nbr,rank,category
1241,"Vitamin C, added",MG,571,6340.0,vitamins_water_soluble
1242,"Vitamin E, added",MG,573,7920.0,vitamins_fat_soluble
1243,"Thiamin, added",MG,574,6440.0,vitamins_water_soluble
1244,"Riboflavin, added",MG,575,6540.0,vitamins_water_soluble
1245,"Niacin, added",MG,576,6640.0,vitamins_water_soluble
1246,"Vitamin B-12, added",UG,578,7340.0,vitamins_water_soluble
1247,"Vitamin C, intrinsic",MG,581,6320.0,vitamins_water_soluble
1248,"Vitamin E, intrinsic",MG,583,7930.0,vitamins_fat_soluble
1249,"Thiamin, intrinsic",MG,584,6420.0,vitamins_water_soluble
1250,"Riboflavin, intrinsic",MG,585,6520.0,vitamins_water_soluble
1251,"Niacin, intrinsic",MG,586,6620.0,vitamins_water_soluble
1252,"Vitamin B-12, intrinsic",UG,588,7320.0,vitamins_water_soluble
1253,Cholesterol,MG,601,15700.0,sterols
1254,Glycerides,G,602,999999.0,basic_fats
1255,Phospholipids,G,603,999999.0,basic_macronutrients
1256,Glycolipids,G,604,999999.0,basic_fats
1257,"Fatty acids, total trans",G,605,15400.0,fatty_acids_unsaturated
1258,"Fatty acids, total saturated",G,606,9700.0,fatty_acids_saturated
1259,SFA 4:0,G,607,9800.0,fatty_acids_saturated
1260,SFA 6:0,G,608,9900.0,fatty_acids_saturated
1261,SFA 8:0,G,609,10000.0,fatty_acids_saturated
1262,SFA 10:0,G,610,10100.0,fatty_acids_saturated
1263,SFA 12:0,G,611,10300.0,fatty_acids_saturated
1264,SFA 14:0,G,612,10500.0,fatty_acids_saturated
1265,SFA 16:0,G,613,10700.0,fatty_acids_saturated
1266,SFA 18:0,G,614,10900.0,fatty_acids_saturated
1267,SFA 20:0,G,615,11100.0,fatty_acids_saturated
1268,MUFA 18:1,G,617,12100.0,fatty_acids_unsaturated
1269,PUFA 18:2,G,618,13100.0,fatty_acids_unsaturated
1270,PUFA 18:3,G,619,13900.0,fatty_acids_unsaturated
1271,PUFA 20:4,G,620,14700.0,fatty_acids_unsaturated
1272,PUFA 22:6 n-3 (DHA),G,621,15300.0,fatty_acids_unsaturated
1273,SFA 22:0,G,624,11200.0,fatty_acids_saturated
1274,MUFA 14:1,G,625,11500.0,fatty_acids_unsaturated
1275,MUFA 16:1,G,626,11700.0,fatty_acids_unsaturated
1276,PUFA 18:4,G,627,14250.0,fatty_acids_unsaturated
1277,MUFA 20:1,G,628,12400.0,fatty_acids_unsaturated
1278,PUFA 20:5 n-3 (EPA),G,629,15000.0,fatty_acids_unsaturated
1279,MUFA 22:1,G,630,12500.0,fatty_acids_unsaturated
1280,PUFA 22:5 n-3 (DPA),G,631,15200.0,fatty_acids_unsaturated
1281,TFA 14:1 t,G,821,15510.0,fatty_acids_unsaturated
1283,Phytosterols,MG,636,15800.0,basic_macronutrients
1284,Ergosterol,MG,637,16220.0,sterols
1285,Stigmasterol,MG,638,15900.0,sterols
1286,Campesterol,MG,639,16000.0,sterols
1287,Brassicasterol,MG,640,16100.0,sterols
1288,Beta-sitosterol,MG,641,16200.0,sterols
1289,Campestanol,MG,642,16221.0,steroller
1290,Unsaponifiable matter (lipids),G,643,999999.0,basic_fats 
1291,"Fatty acids, other than 607-615, 617-621, 624-632, 652-654, 686-689)",G,644,999999.0,fatty_acids_unsaturated
1292,"Fatty acids, total monounsaturated",G,645,11400.0,fatty_acids_saturated
1293,"Fatty acids, total polyunsaturated",G,646,12900.0,fatty_acids_saturated
1294,Beta-sitostanol,MG,647,16222.0,sterols
1295,Delta-7-avenasterol,MG,648,16223.0,sterols
1296,Delta-5-avenasterol,MG,649,16224.0,sterols
1297,Alpha-spinasterol,MG,650,16225.0,basic_macronutrients
1298,"Phytosterols, other",MG,651,16227.0,basic_macronutrients
1299,SFA 15:0,G,652,10600.0,fatty_acids_saturated
1300,SFA 17:0,G,653,10800.0,fatty_acids_saturated
1301,SFA 24:0,G,654,11300.0,fatty_acids_saturated
1302,Wax Esters(Total Wax),G,661,999999.0,basic_fats
1303,TFA 16:1 t,G,662,15520.0,fatty_acids_unsaturated
1304,TFA 18:1 t,G,663,15521.0,fatty_acids_unsaturated
1305,TFA 22:1 t,G,664,15550.0,fatty_acids_unsaturated
1306,TFA 18:2 t not further defined,G,665,15610.0,fatty_acids_unsaturated
1307,PUFA 18:2 i,G,666,13350.0,fatty_acids_unsaturated
1308,"PUFA 18:2 t,c",G,667,13500.0,fatty_acids_unsaturated
1309,"PUFA 18:2 c,t",G,668,13400.0,fatty_acids_unsaturated
1310,"TFA 18:2 t,t",G,669,15615.0,fatty_acids_unsaturated
1311,PUFA 18:2 CLAs,G,670,13300.0,fatty_acids_unsaturated
1312,MUFA 24:1 c,G,671,12800.0,fatty_acids_unsaturated
1313,"PUFA 20:2 n-6 c,c",G,672,14300.0,fatty_acids_unsaturated
1314,MUFA 16:1 c,G,673,11800.0,fatty_acids_unsaturated
1315,MUFA 18:1 c,G,674,12200.0,fatty_acids_unsaturated
1316,"PUFA 18:2 n-6 c,c",G,675,13200.0,fatty_acids_unsaturated
1317,MUFA 22:1 c,G,676,12600.0,fatty_acids_unsaturated
1318,"Fatty acids, saturated, other",G,677,999999.0,fatty_acids_saturated
1319,"Fatty acids, monounsat., other",G,678,999999.0,fatty_acids_unsaturated
1320,"Fatty acids, polyunsat., other",G,679,999999.0,fatty_acids_unsaturated
1321,"PUFA 18:3 n-6 c,c,c",G,685,14100.0,fatty_acids_unsaturated
1322,SFA 19:0,G,686,11000.0,fatty_acids_saturated
1323,MUFA 17:1,G,687,12000.0,fatty_acids_unsaturated
1324,PUFA 16:2,G,688,13000.0,fatty_acids_unsaturated
1325,PUFA 20:3,G,689,14400.0,fatty_acids_unsaturated
1326,"Fatty acids, total sat., NLEA",G,690,999999.0,fatty_acids_saturated
1327,"Fatty acids, total monounsat., NLEA",G,691,999999.0,fatty_acids_unsaturated
1328,"Fatty acids, total polyunsat., NLEA",G,692,999999.0,fatty_acids_unsaturated
1329,"Fatty acids, total trans-monoenoic",G,693,15500.0,fatty_acids_unsaturated
1330,"Fatty acids, total trans-dienoic",G,694,15601.0,fatty_acids_unsaturated
1331,"Fatty acids, total trans-polyenoic",G,695,15619.0,fatty_acids_unsaturated
1332,SFA 13:0,G,696,10400.0,fatty_acids_saturated
1333,MUFA 15:1,G,697,11600.0,fatty_acids_unsaturated
1334,PUFA 22:2,G,698,15100.0,fatty_acids_unsaturated
1335,SFA 11:0,G,699,10200.0,fatty_acids_saturated
1336,"ORAC, Hydrophyllic",UMOL_TE,706,,basic_macronutrients
1337,"ORAC, Lipophillic",UMOL_TE,707,,basic_macronutrients
1338,"ORAC, Total",UMOL_TE,708,,phytochemicals
1339,Total Phenolics,MG_GAE,709,,basic_macronutrients
1340,Daidzein,MG,710,19100.0,phytochemicals
1341,Genistein,MG,711,19200.0,phytochemicals
1342,Glycitein,MG,712,19300.0,phytochemicals
1343,Isoflavones,MG,713,19000.0,phytochemicals
1344,Biochanin A,MG,714,999999.0,phytochemicals
1345,Formononetin,MG,715,999999.0,minerals_trace
1346,Coumestrol,MG,716,999999.0,phytochemicals
1347,"Flavonoids, total",MG,729,999999.0,phytochemicals
1348,Anthocyanidins,MG,730,19400.0,phytochemicals
1349,Cyanidin,MG,731,19500.0,phytochemicals
1350,Proanthocyanidin (dimer-A linkage),MG,732,19510.0,phytochemicals
1351,Proanthocyanidin monomers,MG,733,19520.0,phytochemicals
1352,Proanthocyanidin dimers,MG,734,19530.0,phytochemicals
1353,Proanthocyanidin trimers,MG,735,19540.0,phytochemicals
1354,Proanthocyanidin 4-6mers,MG,736,19550.0,phytochemicals
1355,Proanthocyanidin 7-10mers,MG,737,19560.0,phytochemicals
1356,Proanthocyanidin polymers (>10mers),MG,738,19570.0,phytochemicals
1357,Delphinidin,MG,741,19600.0,basic_macronutrients
1358,Malvidin,MG,742,19700.0,phytochemicals
1359,Pelargonidin,MG,743,19800.0,phytochemicals
1360,Peonidin,MG,745,19900.0,phytochemicals
1361,Petunidin,MG,746,20000.0,phytochemicals
1362,"Flavans, total",MG,747,20100.0,phytochemicals
1363,"Catechins, total",MG,748,20200.0,phytochemicals
1364,Catechin,MG,749,20300.0,phytochemicals
1365,Epigallocatechin,MG,750,20400.0,phytochemicals
1366,Epicatechin,MG,751,20500.0,phytochemicals
1367,Epicatechin-3-gallate,MG,752,20600.0,phytochemicals
1368,Epigallocatechin-3-gallate,MG,753,20700.0,phytochemicals
1369,"Procyanidins, total",MG,754,20800.0,phytochemicals
1370,Theaflavins,MG,755,20900.0,phytochemicals
1371,Thearubigins,MG,756,21000.0,phytochemicals
1372,"Flavanones, total",MG,757,21200.0,phytochemicals
1373,Eriodictyol,MG,758,21300.0,phytochemicals
1374,Hesperetin,MG,759,21400.0,minerals_trace
1375,Isosakuranetin,MG,760,21500.0,minerals_trace
1376,Liquiritigenin,MG,761,21600.0,phytochemicals
1377,Naringenin,MG,762,21700.0,phytochemicals
1378,"Flavones, total",MG,768,21800.0,phytochemicals
1379,Apigenin,MG,770,21900.0,phytochemicals
1380,Chrysoeriol,MG,771,22000.0,phytochemicals
1381,Diosmetin,MG,772,22100.0,minerals_trace
1382,Luteolin,MG,773,22200.0,phytochemicals
1383,Nobiletin,MG,781,22300.0,minerals_trace
1384,Sinensetin,MG,782,22400.0,minerals_trace
1385,Tangeretin,MG,783,22500.0,minerals_trace
1386,"Flavonols, total",MG,784,22600.0,phytochemicals
1387,Isorhamnetin,MG,785,22700.0,minerals_trace
1388,Kaempferol,MG,786,22800.0,phytochemicals
1389,Limocitrin,MG,787,22900.0,phytochemicals
1390,Myricetin,MG,788,23000.0,minerals_trace
1391,Quercetin,MG,789,23100.0,minerals_trace
1392,Theogallin,MG,790,21100.0,phytochemicals
1393,"Theaflavin -3,3' -digallate",MG,791,,phytochemicals
1394,Theaflavin -3' -gallate,MG,792,,phytochemicals
1395,Theaflavin -3 -gallate,MG,793,,phytochemicals
1396,(+) -Gallo catechin,MG,794,,phytochemicals
1397,(+)-Catechin 3-gallate,MG,795,,phytochemicals
1398,(+)-Gallocatechin 3-gallate,MG,796,,phytochemicals
1399,Mannose,G,801,999999.0,sugars
1400,Triose,G,803,999999.0,sugars
1401,Tetrose,G,804,999999.0,sugars
1402,Other Saccharides,G,805,999999.0,sugars
1403,Inulin,G,806,999999.0,dietary_fibers
1404,"PUFA 18:3 n-3 c,c,c (ALA)",G,851,14000.0,fatty_acids_unsaturated
1405,PUFA 20:3 n-3,G,852,14500.0,fatty_acids_unsaturated
1406,PUFA 20:3 n-6,G,853,14600.0,fatty_acids_unsaturated
1407,PUFA 20:4 n-3,G,854,14800.0,fatty_acids_unsaturated
1408,PUFA 20:4 n-6,G,855,14900.0,fatty_acids_unsaturated
1409,PUFA 18:3i,G,856,14200.0,fatty_acids_unsaturated
1410,PUFA 21:5,G,857,15100.0,fatty_acids_unsaturated
1411,PUFA 22:4,G,858,15160.0,fatty_acids_unsaturated
1412,MUFA 18:1-11 t (18:1t n-7),G,859,12310.0,fatty_acids_unsaturated
1413,MUFA 18:1-11 c (18:1c n-7),G,860,12210.0,fatty_acids_unsaturated
1414,PUFA 20:3 n-9,G,861,14650.0,fatty_acids_unsaturated
2000,Total Sugars,G,269,1510.0,sugars
2003,SFA 5:0,G,632,9850.0,fatty_acids_saturated
2004,SFA 7:0,G,633,9950.0,fatty_acids_saturated
2005,SFA 9:0,G,634,10050.0,fatty_acids_saturated
2006,SFA 21:0,G,681,11150.0,fatty_acids_saturated
2007,SFA 23:0,G,682,11250.0,fatty_acids_saturated
2008,MUFA 12:1,G,635,11450.0,fatty_acids_unsaturated
2009,MUFA 14:1 c,G,822,11501.0,fatty_acids_unsaturated
2010,MUFA 17:1 c,G,825,12001.0,fatty_acids_unsaturated
2011,TFA 17:1 t,G,826,15525.0,fatty_acids_unsaturated
2012,MUFA 20:1 c,G,829,12401.0,fatty_acids_unsaturated
2013,TFA 20:1 t,G,830,15540.0,fatty_acids_unsaturated
2014,MUFA 22:1 n-9,G,676.1,12601.0,fatty_acids_unsaturated
2015,MUFA 22:1 n-11,G,676.2,12602.0,fatty_acids_unsaturated
2016,PUFA 18:2 c,G,831,13150.0,fatty_acids_unsaturated
2017,TFA 18:2 t,G,832,15611.0,fatty_acids_unsaturated
2018,PUFA 18:3 c,G,833,13910.0,fatty_acids_unsaturated
2019,TFA 18:3 t,G,834,15660.0,fatty_acids_unsaturated
2020,PUFA 20:3 c,G,835,14450.0,fatty_acids_unsaturated
2021,PUFA 22:3,G,683,14675.0,fatty_acids_unsaturated
2022,PUFA 20:4c,G,836,14750.0,fatty_acids_unsaturated
2023,PUFA 20:5c,G,837,14950.0,fatty_acids_unsaturated
2024,PUFA 22:5 c,G,838,15150.0,fatty_acids_unsaturated
2025,PUFA 22:6 c,G,839,15250.0,fatty_acids_unsaturated
2026,PUFA 20:2 c,G,840,14250.0,fatty_acids_unsaturated
2027,Proximate,G,200,999999.0,proximate composition
2028,trans-beta-Carotene,UG,321.2,7444.0,fatty_acids_unsaturated
2029,trans-Lycopene,UG,337.2,7534.0,fatty_acids_unsaturated
2032,"Cryptoxanthin, alpha",UG,335,7461.0,basic_macronutrients
2033,Total dietary fiber (AOAC 2011.25),G,293,1300.0,dietary_fibers
2034,Insoluble dietary fiber (IDF),G,293.1,1310.0,dietary_fibers
2035,Soluble dietary fiber (SDFP+SDFS),G,293.2,1320.0,dietary_fibers
2036,Soluble dietary fiber (SDFP),G,954,1324.0,dietary_fibers
2037,Soluble dietary fiber (SDFS),G,953,1326.0,dietary_fibers
2038,High Molecular Weight Dietary Fiber (HMWDF),G,293.3,1305,dietary_fibers
2039,Carbohydrates,G,956,1100.0,basic_carbohydrates
2040,Other carotenoids,UG,955,7510.0,vitamins_fat_soluble
2041,Tocopherols and tocotrienols,MG,323.99,7900.0,basic_macronutrients
2042,Amino acids,G,500,16250.0,basic_proteins
2043,Minerals,MG,300,5200.0,minerals_trace
2044,Lipids,G,950,9600.0,basic_fats
2045,Proximates,G,951,50.0,basic_macronutrients
2046,Vitamins and Other Components,G,952,6250.0,vitamins_water_soluble
2055,Total Tocopherols,MG,,7901.0,basic_macronutrients
2054,Total Tocotrienols,MG,,7902.0,vitamins_fat_soluble
2053,Stigmastadiene,MG,,15801.0,sterols
2052,Delta-7-Stigmastenol,MG,,16226.0,sterols
2049,Daidzin,MG,717,19310.0,phytochemicals
2050,Genistin,MG,718,19320.0,minerals_trace
2051,Glycitin,MG,719,19330.0,minerals_trace
2057,Ergothioneine,MG,,16255.0,bioactive_compounds
2058,Beta-glucan,G,,1327.0,dietary_fibers
2059,Vitamin D4,UG,,8730.0,vitamins_fat_soluble
2060,Ergosta-7-enol,MG,,16210.0,sterols
2061,"Ergosta-7,22-dienol",MG,,16211.0,sterols
2062,"Ergosta-5,7-dienol",MG,,16211.0,sterols
2063,Verbascose,G,,2450.0,sugars
2064,Oligosaccharides,MG,,2250.0,dietary_fibers
2065,Low Molecular Weight Dietary Fiber (LMWDF),G,293.4,1306,dietary_fibers
2068,Vitamin E,MG,959,7810,vitamins_fat_soluble
2067,Vitamin A,UG,960,7430,vitamins_fat_soluble
2069,Glutathione,MG,961,9000,bioactive_compounds
